City Name,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kotka,60.47,26.95,288.15,93,40,2.1,FI,1597449043
Khatanga,71.97,102.5,285.92,50,23,7.51,RU,1597448820
Orbetello,42.44,11.22,295.15,88,0,1.0,IT,1597449049
Faya,18.39,42.45,295.15,64,95,1.61,SA,1597448885
New London,41.36,-72.1,299.82,69,1,2.1,US,1597448790
Chunskiy,56.08,99.63,287.9,87,90,1.35,RU,1597449059
Half Moon Bay,37.46,-122.43,311.48,30,1,6.2,US,1597449060
Torbay,47.67,-52.73,287.04,100,90,6.7,CA,1597449062
Batagay-Alyta,67.8,130.41,278.63,77,96,0.31,RU,1597449064
Bethel,41.37,-73.41,300.15,54,20,3.6,US,1597449067
Corner Brook,48.97,-57.95,290.15,76,20,3.1,CA,1597449068
Salalah,17.02,54.09,298.15,94,75,1.5,OM,1597449069
Hofn,64.25,-15.21,286.4,49,15,2.02,IS,1597448810
Dok Kham Tai,19.16,99.99,295.52,96,100,1.53,TH,1597449074
Norman Wells,65.28,-126.83,288.15,87,90,6.7,CA,1597448821
Hasaki,35.73,140.83,304.26,79,75,0.5,JP,1597449081
Muros,42.78,-9.06,289.15,82,40,1.0,ES,1597449082
Thompson,55.74,-97.86,295.15,43,75,4.1,CA,1597449087
Tooele,40.53,-112.3,305.15,22,1,3.1,US,1597449090
Tasiilaq,65.61,-37.64,281.15,52,0,0.5,GL,1597449091
Bouar,5.93,15.6,291.5,99,77,1.54,CF,1597449096
Abu Kamal,34.45,40.92,300.27,36,0,9.34,SY,1597449098
Yellowknife,62.46,-114.35,288.15,67,75,9.8,CA,1597449101
Marakkanam,12.2,79.95,300.82,72,100,3.61,IN,1597449104
Longyearbyen,78.22,15.64,281.15,65,75,12.3,SJ,1597449105
Honningsvåg,70.98,25.97,284.33,95,100,5.64,NO,1597449107
Kamakwie,9.5,-12.23,295.12,98,66,1.27,SL,1597449109
Usinsk,65.99,57.53,276.56,88,6,2.09,RU,1597449112
Thayetmyo,19.32,95.18,297.25,96,100,3.03,MM,1597449113
Aras,42.56,-2.36,294.15,83,43,1.5,ES,1597449119
Upernavik,72.79,-56.15,277.74,69,0,5.48,GL,1597449121
Fortuna,40.6,-124.16,303.71,47,74,0.89,US,1597449124
Qaanaaq,77.48,-69.36,276.96,77,100,2.72,GL,1597449126
Provideniya,64.38,-173.3,286.97,60,74,3.8,RU,1597449128
Hilo,19.73,-155.09,304.15,55,1,4.1,US,1597449122
Imeni Morozova,59.98,31.04,290.37,83,100,2.43,RU,1597449130
Ambahta,29.85,77.33,299.35,84,4,2.51,IN,1597449131
Cockburn Town,21.46,-71.14,301.15,78,40,2.6,TC,1597449133
Autun,46.95,4.3,290.15,82,6,0.55,FR,1597449084
Mehamn,71.04,27.85,284.1,91,100,4.3,NO,1597449135
Fairbanks,64.84,-147.72,295.15,37,75,2.12,US,1597449023
Amapá,1.0,-52.0,296.95,81,58,1.52,BR,1597449142
Ganzhou,28.82,115.43,302.02,74,63,1.86,CN,1597449143
Bantou,26.22,117.49,300.07,78,0,0.15,CN,1597449145
Pyatnitskoye,50.42,37.83,283.06,83,0,2.86,RU,1597449147
Marawi,8.0,124.29,299.26,82,91,2.24,PH,1597449148
Djibo,14.1,-1.63,300.11,67,99,8.08,BF,1597449149
Taiyuan,37.87,112.56,292.15,88,100,1.0,CN,1597449150
Sitka,57.05,-135.33,287.15,93,90,5.1,US,1597449154
Tegul'det,57.31,88.17,287.88,97,37,2.09,RU,1597449155
Hīt,33.64,42.83,303.21,18,0,7.52,IQ,1597449157
Wau,7.7,28.0,294.84,92,93,1.05,SS,1597449158
Phonhong,18.5,102.42,297.15,100,90,1.0,LA,1597449161
Obo,5.4,26.49,293.78,94,90,0.99,CF,1597449165
Sangar,63.92,127.47,285.12,48,0,1.42,RU,1597449169
Okha,53.57,142.95,288.95,77,79,6.7,RU,1597449170
Severo-Kuril'sk,50.68,156.12,285.01,76,99,3.62,RU,1597449171
Kumul,42.8,93.45,294.41,50,72,5.5,CN,1597449172
Nongstoin,25.52,91.27,292.33,100,100,1.0,IN,1597449175
Itoman,26.12,127.67,303.15,74,20,3.1,JP,1597448886
Yatou,37.15,122.38,299.59,90,99,5.95,CN,1597449178
Tuktoyaktuk,69.45,-133.04,284.15,81,75,1.5,CA,1597449187
Ponta do Sol,32.67,-17.1,296.15,64,20,3.6,PT,1597449189
Līsakovsk,52.54,62.49,287.01,94,16,2.75,KZ,1597449190
Velizh,55.61,31.2,282.96,83,3,1.31,RU,1597449195
São Filipe,14.9,-24.5,298.54,88,83,2.63,CV,1597449196
Santa Rosa,14.31,121.11,299.26,94,83,0.5,PH,1597448979
Vardø,70.37,31.11,284.29,91,100,1.54,NO,1597449202
Svirstroy,60.8,33.72,284.63,89,100,1.56,RU,1597449203
Port Hardy,50.7,-127.42,290.15,82,90,3.6,CA,1597449204
Kastamonu Province,41.5,33.67,281.81,90,0,0.45,TR,1597449205
Kourou,5.16,-52.65,301.15,78,4,3.1,GF,1597449207
Beyneu,45.32,55.2,295.11,36,58,4.76,KZ,1597449208
Maniitsoq,65.42,-52.9,279.7,86,52,5.67,GL,1597449209
Nyrob,60.73,56.72,280.32,81,93,1.88,RU,1597449215
Wagar,16.15,36.2,299.93,72,100,9.91,SD,1597449217
Mogadishu,2.04,45.34,297.34,82,81,8.66,SO,1597448987
Nampa,43.54,-116.56,305.37,11,1,4.6,US,1597448985
Ayagoz,47.97,80.44,286.93,77,36,3.84,KZ,1597449225
Akdepe,42.06,59.38,295.15,43,0,3.1,TM,1597449226
Butaritari,3.07,172.79,300.98,80,72,5.63,KI,1597449227
Bridlington,54.08,-0.19,289.15,87,100,4.1,GB,1597449229
Along,28.17,94.77,296.18,88,98,0.32,IN,1597449230
Jodhpur,26.29,73.03,301.08,82,100,6.66,IN,1597449232
Krasnosel'kup,65.7,82.47,288.84,94,99,4.05,RU,1597449234
Cherskiy,68.75,161.3,281.38,68,97,5.81,RU,1597449237
Kovvūr,17.02,81.73,296.6,94,100,4.82,IN,1597449239
Tigil',57.8,158.67,290.99,50,15,3.88,RU,1597449240
Araouane,18.9,-3.53,303.79,48,37,9.45,ML,1597449243
Sioux Lookout,50.1,-91.92,297.15,69,75,2.1,CA,1597449244
Eyl,7.98,49.82,297.66,75,100,11.87,SO,1597449247
Udachny,66.42,112.4,280.15,70,75,1.82,RU,1597449248
Sinjār,36.32,41.88,301.32,17,0,4.23,IQ,1597449250
Williams Lake,52.14,-122.14,291.15,55,90,2.6,CA,1597449253
Marsá Maţrūḩ,31.35,27.25,298.15,78,0,2.1,EG,1597449255
Abu Samrah,35.3,37.18,295.0,59,0,3.29,SY,1597449257
Savonlinna,61.87,28.88,289.15,87,90,3.6,FI,1597449259
San Lazaro,18.04,-88.66,304.15,66,75,6.7,BZ,1597449262
Lālmohan,22.34,90.74,301.64,79,100,9.8,BD,1597449265
Dogondoutchi,13.64,4.03,299.83,76,80,8.84,NE,1597449266
Naliya,23.27,68.83,300.82,87,100,4.57,IN,1597449267
Benghazi,32.12,20.07,299.3,81,0,5.08,LY,1597449269
Shimoda,34.67,138.95,303.15,84,20,3.6,JP,1597449272
Cabo San Lucas,22.89,-109.91,303.71,66,40,7.2,MX,1597449164
Lalupon,7.47,4.07,294.2,97,100,1.89,NG,1597449275
Sakakah,29.97,40.21,302.15,26,0,6.2,SA,1597449277
St. George's,12.06,-61.75,301.15,78,20,4.1,GD,1597449004
Tabou,4.42,-7.35,297.46,84,50,4.43,CI,1597449279
Gravdal,68.12,13.5,286.77,95,100,8.98,NO,1597449282
Yalvaç,38.3,31.18,289.65,49,0,2.44,TR,1597449284
High Rock,26.62,-78.28,303.15,74,20,3.1,BS,1597449285
Nacozari,25.34,-108.26,305.93,67,19,2.68,MX,1597449287
Kitgum,3.28,32.89,291.58,93,100,0.69,UG,1597449090
Erenhot,43.65,111.98,297.0,42,84,4.14,CN,1597449293
Nikolskoye,59.7,30.79,289.15,72,40,1.0,RU,1597449296
Ascension,30.22,-90.9,304.26,66,100,2.88,US,1597449301
Union,40.63,-74.27,301.48,54,1,2.6,US,1597449302
Igarka,67.47,86.58,287.81,77,97,6.41,RU,1597449304
Beringovskiy,63.05,179.32,287.22,67,53,7.61,RU,1597449305
Bathsheba,13.22,-59.52,300.15,78,20,2.6,BB,1597449306
Saint Paul Harbor,57.79,-152.41,294.15,40,1,5.1,US,1597449309
Pascagoula,30.37,-88.56,298.15,94,1,3.77,US,1597449312
Ostrovnoy,68.05,39.51,284.3,91,100,5.45,RU,1597449313
Oil City,41.43,-79.71,302.15,39,1,3.1,US,1597449314
Neftçala,39.37,49.25,297.38,69,0,5.61,AZ,1597449315
Coahuayana Viejo,18.73,-103.68,300.15,78,75,1.91,MX,1597449318
Ronneby,56.21,15.28,286.15,93,0,2.6,SE,1597449319
Shimanovsk,52.0,127.7,287.88,97,100,4.4,RU,1597449320
Nanortalik,60.14,-45.24,279.34,81,83,2.93,GL,1597449324
Maní,4.82,-72.29,299.32,80,72,2.07,CO,1597449325
Dormidontovka,47.77,134.91,291.25,95,98,2.96,RU,1597449327
Ixtapa,20.7,-105.2,305.15,66,75,2.6,MX,1597449328
Costineşti,43.95,28.63,295.15,68,5,4.1,RO,1597449332
Saint George,37.1,-113.58,314.26,12,1,6.2,US,1597449335
Dubti,11.74,41.09,302.73,55,76,7.0,ET,1597449337
Zhuhai,22.28,113.57,302.59,79,40,2.1,CN,1597449338
Teknāf,20.86,92.31,299.9,85,100,6.11,BD,1597449341
Juegang,32.32,121.19,301.86,79,29,4.99,CN,1597449343
Rupert,42.62,-113.68,302.15,18,1,4.1,US,1597449060
Ocós,14.51,-92.19,304.15,70,75,2.6,GT,1597449346
Manbij,36.53,37.95,299.15,31,0,2.6,SY,1597449348
Evensk,61.95,159.23,286.35,69,100,2.23,RU,1597449349
Bud,39.45,-86.18,300.15,65,40,1.59,US,1597449357
Broome,42.25,-75.83,298.15,61,75,2.1,US,1597449362
Wanning,18.8,110.4,300.3,81,55,1.5,CN,1597449364
Kargil,34.57,76.1,286.76,59,0,3.2,IN,1597449366
Lavrentiya,65.58,-171.0,288.5,56,87,3.4,RU,1597449367
Parrita,9.52,-84.32,295.15,94,75,1.5,CR,1597449108
Shuangcheng,45.35,126.28,292.15,100,19,3.0,CN,1597449369
Yemel'yanovo,56.17,92.68,287.15,93,66,0.98,RU,1597449372
Lengshuijiang,27.69,111.43,300.03,77,43,1.54,CN,1597449374
Douentza,15.0,-2.95,302.02,55,85,3.91,ML,1597449376
Pochutla,15.74,-96.47,305.15,55,20,4.1,MX,1597449377
Balotra,25.83,72.23,303.1,73,100,6.05,IN,1597449379
Khanbari,27.37,87.2,296.69,72,98,0.27,NP,1597449381
Inuvik,68.35,-133.72,286.15,76,90,3.6,CA,1597449383
Skellefteå,64.75,20.95,287.15,82,87,3.1,SE,1597449386
Gboko,7.32,9.0,296.16,91,97,2.27,NG,1597449388
Umluj,25.02,37.27,301.08,71,88,1.31,SA,1597449390
San Nicolas,18.17,120.6,299.15,94,40,1.5,PH,1597449391
Tuy Hoa,13.08,109.3,299.07,84,100,4.46,VN,1597449392
Pervomayskoye,43.92,46.71,292.97,62,100,1.24,RU,1597449395
Grand-Lahou,5.14,-5.02,296.99,88,57,4.68,CI,1597449397
Bāfq,31.61,55.41,299.63,18,22,2.06,IR,1597449398
Yerbogachën,61.28,108.01,282.2,64,0,4.33,RU,1597449401
Adrar,20.5,-10.07,310.18,26,52,2.88,MR,1597449402
Hereford,52.06,-2.71,290.93,94,75,2.51,GB,1597449118
Petropavlovsk-Kamchatskiy,53.05,158.65,287.15,76,40,3.0,RU,1597449405
Bumba,2.18,22.47,296.4,87,75,0.88,CD,1597449406
Laas,46.62,10.7,287.15,93,75,4.1,IT,1597449409
Emba,48.83,58.14,291.73,64,7,1.0,KZ,1597449410
Rabo de Peixe,37.8,-25.58,295.15,78,20,3.1,PT,1597449411
Onokhoy,51.93,108.07,288.15,87,10,1.0,RU,1597449415
Lesnikovo,55.28,65.32,286.05,66,100,3.49,RU,1597449417
Agnibilékrou,7.13,-3.2,294.38,96,100,1.92,CI,1597449418
Saint Anthony,45.02,-93.22,301.48,65,90,5.1,US,1597449420
Mahon,39.89,4.27,295.15,94,0,0.34,ES,1597449422
Vestmanna,62.16,-7.17,285.15,100,94,1.0,FO,1597449427
The Valley,18.22,-63.06,302.15,74,20,5.7,AI,1597449430
Nuuk,64.18,-51.72,280.15,87,75,7.7,GL,1597449431
Zaraza,9.35,-65.32,297.71,94,54,2.09,VE,1597449432
Bandarbeyla,9.49,50.81,297.41,75,100,13.57,SO,1597449433
Bagdarin,54.43,113.6,287.15,84,91,0.38,RU,1597449435
Trenton,40.22,-74.74,300.15,54,1,4.1,US,1597449397
Salisbury,51.07,-1.8,291.48,93,100,2.1,GB,1597449203
Aloleng,16.13,119.78,301.43,74,89,1.0,PH,1597449440
Mayo,38.89,-76.51,298.15,94,90,3.6,US,1597449442
Baghdad,33.34,44.4,303.15,30,0,4.1,IQ,1597449443
Romitan,39.93,64.38,295.15,49,0,2.1,UZ,1597449446
Palmer,42.16,-72.33,301.15,45,75,2.6,US,1597449447
Ibrā’,22.69,58.53,304.29,51,92,0.51,OM,1597449449
Sinnamary,5.38,-52.95,299.98,80,5,5.23,GF,1597449450
Anadyr,64.75,177.48,288.15,67,89,2.0,RU,1597449451
Pedasí,7.53,-80.03,299.11,87,100,5.74,PA,1597449458
Mulegé,26.88,-111.98,306.41,51,0,4.76,MX,1597449459
Beāwar,26.1,74.32,298.22,90,100,5.95,IN,1597449463
Los Llanos de Aridane,28.66,-17.92,296.15,73,75,7.7,ES,1597449466
Srednekolymsk,67.45,153.68,280.89,68,96,4.38,RU,1597449467
Grindavik,63.84,-22.43,283.15,93,75,6.2,IS,1597449470
Shirokiy,49.76,129.52,288.73,96,100,6.06,RU,1597449471
Abbeville,50.1,1.83,292.59,53,79,2.17,FR,1597449472
Yangi Marg`ilon,40.43,71.72,295.15,33,16,2.1,UZ,1597449473
Kutum,14.2,24.67,297.35,68,83,2.49,SD,1597449476
Bayjī,34.93,43.49,301.95,17,0,5.38,IQ,1597449477
Mae Sai,20.43,99.88,297.15,100,40,1.0,TH,1597449480
Horki,54.29,30.98,282.82,89,0,2.14,BY,1597449482
Kologriv,58.83,44.32,279.57,95,4,2.26,RU,1597449483
Sturgeon Falls,46.36,-79.93,299.15,41,20,2.1,CA,1597449484
Sīrjān,29.45,55.68,298.33,27,44,3.35,IR,1597449485
Buraidah,26.33,43.98,302.15,37,61,1.5,SA,1597449487
Elmadağ,39.92,33.23,293.15,59,0,5.1,TR,1597449491
Acapulco de Juárez,16.86,-99.89,303.15,79,75,5.7,MX,1597449205
Severnoye,56.35,78.36,284.47,98,100,3.04,RU,1597449496
Pangody,65.85,74.49,280.25,85,92,6.52,RU,1597449497
Galle,6.04,80.22,299.0,88,92,4.44,LK,1597449501
Smithers,54.78,-127.17,286.15,100,90,1.5,CA,1597449502
Vestmannaeyjar,63.44,-20.27,283.78,87,26,2.25,IS,1597449503
Dandong,40.13,124.39,298.22,91,100,3.16,CN,1597449507
Talaya,61.38,152.75,288.05,56,100,1.35,RU,1597449509
Paamiut,61.99,-49.67,279.76,82,0,11.05,GL,1597449511
Clyde River,70.47,-68.59,279.15,93,90,7.2,CA,1597449512
La Tuque,47.43,-72.78,290.45,89,53,1.33,CA,1597449513
Haines Junction,60.75,-137.51,287.85,58,100,0.43,CA,1597449516
Lárdos,36.09,28.02,301.15,51,0,4.1,GR,1597449517
Shingū,33.73,135.98,302.15,79,20,2.6,JP,1597449522
Ilulissat,69.22,-51.1,279.15,56,14,1.5,GL,1597449523
Kulu,39.1,33.08,288.46,64,0,3.69,TR,1597449525
Xam Nua,20.42,104.04,293.55,92,81,0.5,LA,1597449526
Yārāda,17.65,83.27,297.15,100,90,4.1,IN,1597449527
Atasū,48.68,71.64,286.97,72,51,1.47,KZ,1597449530
Varde,55.62,8.48,289.26,93,0,1.5,DK,1597449531
Esna,25.29,32.55,304.15,31,63,2.1,EG,1597449534
Sechelt,49.47,-123.77,294.82,65,46,1.34,CA,1597449535
Iqaluit,63.75,-68.51,287.15,62,75,6.2,CA,1597449538
Saint-François,46.42,3.91,289.82,93,19,0.59,FR,1597449539
Camacha,33.08,-16.33,295.15,78,20,4.6,PT,1597449541
Araure,9.56,-69.21,301.15,65,46,7.7,VE,1597449544
Kaitong,44.81,123.15,294.5,69,0,6.21,CN,1597449547
Robertsport,6.75,-11.37,297.81,84,99,4.96,LR,1597449548
Morant Bay,17.88,-76.41,304.15,58,20,9.3,JM,1597449549
Cuencamé de Ceniceros,24.87,-103.7,303.29,23,2,6.61,MX,1597449552
Nicoya,10.15,-85.45,297.15,94,75,1.5,CR,1597449553
Ouargaye,11.5,0.06,297.07,93,100,5.27,BF,1597449554
Nikki,9.94,3.21,294.12,97,100,2.84,BJ,1597449557
Solnechnyy,50.72,136.63,287.4,95,100,1.6,RU,1597449558
Acajutla,13.59,-89.83,296.15,100,40,2.19,SV,1597449529
Port Hawkesbury,45.62,-61.35,294.26,83,90,3.1,CA,1597449389
Yaan,7.38,8.57,295.53,96,99,1.17,NG,1597449563
Awjilah,29.11,21.29,300.35,38,0,4.21,LY,1597449564
Bombarral,39.27,-9.16,290.93,91,0,2.25,PT,1597449568
Jalu,29.03,21.55,300.29,38,0,4.09,LY,1597449569
Thinadhoo,0.53,72.93,301.54,70,87,2.58,MV,1597449571
Matamoros,25.53,-103.25,309.15,19,20,2.6,MX,1597449337
Kisangani,0.52,25.2,295.0,94,99,1.07,CD,1597449575
Plaeng Yao,13.58,101.28,303.15,80,100,1.56,TH,1597449576
Umm Kaddadah,13.6,26.69,301.21,59,78,4.97,SD,1597449584
Constantine,36.37,6.61,301.15,39,40,4.1,DZ,1597449585
Bandar-e Lengeh,26.56,54.88,304.26,82,8,5.54,IR,1597449586
Vinsady,44.08,42.97,292.15,52,39,4.0,RU,1597449588
Iracoubo,5.48,-53.2,300.1,80,1,5.45,GF,1597449590
Selenginsk,52.01,106.86,288.15,87,58,1.0,RU,1597449591
Bongandanga,1.5,21.05,296.19,85,89,0.16,CD,1597449593
Wakkanai,45.41,141.67,294.15,88,75,4.6,JP,1597449596
Verkh-Usugli,52.7,115.17,287.32,84,87,0.72,RU,1597449598
Kargopol',61.51,38.95,282.68,93,81,1.33,RU,1597449599
Skibotn,69.39,20.27,285.15,87,75,12.9,NO,1597449601
Toora-Khem,52.47,96.11,286.06,78,16,0.21,RU,1597449603
Havøysund,71.0,24.66,285.15,93,75,8.7,NO,1597449605
Pangnirtung,66.15,-65.71,283.83,51,39,2.42,CA,1597449606
Lagoa,39.05,-27.98,296.11,78,59,5.63,PT,1597449608
Diffa,13.32,12.61,299.26,77,32,4.74,NE,1597449610
Tessalit,20.2,1.01,308.9,18,8,1.92,ML,1597449611
Naze,28.37,129.48,303.15,79,20,2.1,JP,1597449612
Port Blair,11.67,92.75,301.14,79,100,7.51,IN,1597449614
Dezful,32.38,48.41,302.63,18,0,0.8,IR,1597449616
Hvide Sande,56.0,8.13,289.26,79,2,4.53,DK,1597449617
Torit,4.41,32.57,293.91,90,100,1.09,SS,1597449618
Gornji Milanovac,44.03,20.45,294.15,100,43,2.1,RS,1597449620
Alappuzha,9.49,76.33,298.66,84,100,1.53,IN,1597449621
Milos,36.75,24.43,298.15,65,0,4.6,GR,1597449623
Zdvinsk,54.7,78.66,285.17,91,98,3.67,RU,1597449624
Macenta,8.54,-9.47,293.95,97,100,1.23,GN,1597449625
Atar,20.52,-13.05,306.73,43,36,2.63,MR,1597449626
Prince Rupert,54.32,-130.32,288.15,100,90,3.1,CA,1597449604
Cayenne,4.93,-52.33,301.15,78,1,3.1,GF,1597449632
Grandview,38.89,-94.53,304.26,58,1,3.1,US,1597449633
Pyapon,16.28,95.68,298.34,91,100,2.95,MM,1597449634
Ténenkou,14.46,-4.92,300.75,67,90,3.82,ML,1597449638
Kahului,20.89,-156.47,305.15,52,40,11.3,US,1597449643
Örnsköldsvik,63.29,18.72,286.15,82,73,3.1,SE,1597449645
Rosita,13.93,-84.4,297.54,97,100,0.97,NI,1597449647
Khasan,42.43,130.64,298.09,71,45,1.92,RU,1597449649
Nagato,34.38,131.2,303.15,79,20,3.1,JP,1597449651
Hamina,60.57,27.2,288.15,93,67,2.1,FI,1597449652
Icod de los Vinos,28.37,-16.71,295.93,81,41,0.45,ES,1597449653
Roald,62.58,6.13,287.15,82,20,6.7,NO,1597449655
Westport,41.14,-73.36,300.93,65,1,2.6,US,1597449642
Yar-Sale,66.83,70.83,281.04,78,42,3.84,RU,1597449660
Buchanan,5.88,-10.05,296.15,94,75,3.69,LR,1597449663
Yinzhu,35.88,119.98,302.15,89,99,3.0,CN,1597449665
Garhi Khairo,28.06,67.98,307.34,55,8,4.53,PK,1597449667
Laurel,39.1,-76.85,298.15,94,90,2.6,US,1597449547
Chokurdakh,70.63,147.92,277.57,79,100,2.2,RU,1597449674
Taos,36.41,-105.57,302.15,17,75,5.1,US,1597449600
Wilmington,34.23,-77.94,302.15,74,1,5.7,US,1597449602
Kavaratti,10.57,72.64,301.03,78,100,8.88,IN,1597449680
Kjøpsvik,68.1,16.37,285.93,93,100,13.4,NO,1597449681
Khandyga,62.67,135.6,286.07,45,0,2.34,RU,1597449686
Lishu,43.3,124.33,296.32,69,2,3.12,CN,1597449689
Brae,60.4,-1.35,284.15,93,13,5.7,GB,1597449692
Farmington,36.73,-108.22,310.15,9,1,7.7,US,1597449596
Otradnoye,59.78,30.82,289.15,72,40,1.0,RU,1597449409
Lakhdenpokh'ya,61.52,30.2,288.71,91,100,2.13,RU,1597449697
Kaihua,23.37,104.28,291.89,93,99,2.46,CN,1597449699
Ternate,0.8,127.4,300.29,78,75,3.43,ID,1597449701
Blacksburg,37.23,-80.41,296.48,100,40,1.12,US,1597449702
Aklavik,68.22,-135.01,285.15,87,90,2.1,CA,1597449704
North Platte,41.12,-100.77,302.15,39,1,5.7,US,1597449642
Tura,25.52,90.22,296.94,97,100,2.94,IN,1597449708
Arrondissement de Saint-Denis,48.92,2.33,293.15,88,75,1.5,FR,1597449710
Jamame,0.07,42.75,296.82,79,96,4.69,SO,1597449712
Arbazh,57.68,48.31,282.37,80,96,5.29,RU,1597449713
Safaga,26.73,33.94,305.15,27,83,3.6,EG,1597449716
Novopavlovka,51.22,109.21,289.03,74,29,1.85,RU,1597449717
Nioro,13.35,-15.75,297.61,93,96,2.34,GM,1597449718
Kīhei,20.79,-156.47,305.15,52,40,11.3,US,1597449432
Ponta Delgada,37.73,-25.67,295.15,78,20,2.6,PT,1597449721
Mahibadhoo,3.78,72.97,301.43,69,69,3.39,MV,1597449722
Koslan,63.46,48.9,279.54,82,64,0.85,RU,1597449724
Pescantina,45.48,10.87,294.26,73,86,2.6,IT,1597449726
Outlook,51.5,-107.05,294.84,39,80,3.87,CA,1597449728
Novy Urengoy,66.08,76.63,281.89,81,97,8.02,RU,1597449730
Alice Town,25.72,-79.3,302.22,72,3,4.31,BS,1597449731
Nanding,36.75,118.06,302.46,72,100,2.62,CN,1597449732
Ugoofaaru,5.67,73.0,300.82,77,97,4.52,MV,1597449733
Ridgecrest,35.62,-117.67,316.15,11,40,5.1,US,1597449735
Vila do Maio,15.13,-23.22,298.15,94,90,3.1,CV,1597449738
Bogovarovo,58.98,47.02,279.96,81,42,3.63,RU,1597449740
Pacific Grove,36.62,-121.92,308.15,24,1,5.1,US,1597449742
Poronaysk,49.22,143.12,287.35,86,99,4.56,RU,1597449743
Zabid,14.2,43.32,304.37,64,90,2.78,YE,1597449745
Weirton,40.42,-80.59,304.15,31,1,3.6,US,1597449450
Nyurba,63.28,118.33,283.1,65,97,3.15,RU,1597449749
Bereket,39.24,55.52,301.26,48,46,4.06,TM,1597449751
Ferme-Neuve,46.7,-75.45,292.13,74,5,2.03,CA,1597449752
Gulābpura,25.9,74.67,298.65,88,100,4.68,IN,1597449753
Zhigansk,66.77,123.37,280.87,67,63,8.61,RU,1597449754
Ossora,59.24,163.07,286.26,82,100,6.91,RU,1597449757
Rockland,41.17,-74.05,300.37,69,66,2.51,US,1597449758
Mattru,7.62,-11.83,296.9,88,100,1.38,SL,1597449759
Marrakesh,31.63,-8.01,297.15,57,0,1.5,MA,1597449586
San Patricio,19.22,-104.7,305.15,75,75,5.1,MX,1597449765
Hobyo,5.35,48.53,297.31,85,100,10.01,SO,1597449767
Yozgat Province,39.58,35.33,282.8,92,0,2.6,TR,1597449768
Mīnāb,27.15,57.08,305.15,79,0,0.37,IR,1597449770
Husavik,66.04,-17.34,287.15,41,7,11.3,IS,1597449772
Uspenskaya,45.76,41.07,287.46,62,19,0.76,RU,1597449773
Dwārka,22.24,68.97,301.07,84,100,8.16,IN,1597449774
Fort Nelson,58.81,-122.7,292.15,55,75,3.6,CA,1597449775
Lubsko,51.78,14.97,293.71,76,100,4.33,PL,1597449779
Ponnāni,10.77,75.93,298.15,94,20,2.6,IN,1597449780
Lingyuan,41.24,119.4,300.02,58,91,3.94,CN,1597449781
Tongchuanshi,35.08,109.09,292.37,91,99,0.22,CN,1597449782
Hedensted,55.77,9.7,290.37,93,0,1.0,DK,1597449784
Shelburne,44.08,-80.2,301.15,39,1,3.1,CA,1597449722
Ouésso,1.61,16.05,295.28,89,95,0.93,CG,1597449787
Lanigan,51.85,-105.03,292.79,49,40,6.81,CA,1597449508
Arua,3.02,30.91,291.05,91,100,0.96,UG,1597449789
Berdigestyakh,62.1,126.7,286.19,51,0,1.89,RU,1597449792
Winnemucca,40.97,-117.74,307.15,14,1,4.6,US,1597449798
